Index,artist,title,mood,lyrics,wordcount
10,S. Carey,In The Dirt,sad,"Don't leave 'cause I believe
We were meant to sleep
In the dirt

If you doubt that I'll be there
Don't despair
Don't you dare

Don't leave 'cause I believe
We were meant to sleep
In the dirt",190
11,M. Ward,Blake's View,sad,"
""Death is just a door,"" Blake said it first
It's just another room we enter, it's a threshold that hurts
Birth is just a chorus, death is just a verse
In the great song of spring that the mockingbirds sing


We come and we go, a-weeping and a-wailing
Our heads in the hands of the nurse
Well, put your head on my shoulder, baby, tell me where it hurts
You say you lost your one and only, could it get any worse?
I say death is just a door, you'll be reunited on the other side


Birth is just a chorus, death is just a verse
In the great song of spring that the mockingbirds sing


We come and we go, a-weeping and a-wailing
Our heads in the hands of the nurse
Well, put your head on my shoulder, baby, tell me where it hurts
You say you lost your one and only, could it possibly get any worse?
Death is just a door, you'll be reunited on the other side


Yeah, death is just a door
You'll be reunited on the other side, alright
Yeah, death is just a door
You'll be reunited by and by",985
12,Joan Osborne,War,angry,"
War
What is it good for?
Absolutely nothing
War
What is it good for?
Absolutely nothing


War, it ain't nothing but a heartbreaker
Friend only to the undertaker
War means tears
To thousands of mothers' eyes
When their sons go off to fight
And their daughters lose their lives in


War
What is it good for?
Absolutely nothing
War
What is it good for?
Absolutely nothing


War is an enemy of all mankind
The news of war, it breaks my heart and closed my mind
War has laid waste to a whole generation
Induction then destruction
And who wants to die in a

War
What is it good for?
Absolutely nothing
Tell me, war
What is it good for?
Ask yourself this question


Oh, peace, love and understanding
Tell me, is there no place for them today?
They say we must fight to keep our freedom
But Lord, Lord, Lord there's got to be a better way


War
What is it good for?
Tell me, tell me, tell me
War
What is it good for? What is it good for?


What is it good for? What is it good for?
What is it good for? What is it good for?
What is it good for? What is it good for?
What is it good for? What is it good for?



Lord, can you tell me now
There's got to be a better way",1160
13,Todd Agnew,Joy Unspeakable,happy,"I have found His grace is all complete
He supplies my every need
While I sit and learn at Jesus' feet
I am free indeed

What kind of joy is this?

It's joy unspeakable, all You've done for me
It's indescribable, just a taste of Your glory
It's unnatural, not to tell the story of all You've given me
My words are incomplete, it's joy unspeakable

I have found the pleasure I once craved
It's joy and peace within, within
What a wondrous blessing I am saved
From the awful gulf of sin

It's joy unspeakable, all You've done for me
It's indescribable, just a taste of Your glory
It's unnatural, not to tell the story of all You've given me
My words are incomplete

I have found the joy no tongue can tell
How its waves of glory roll
It is like an overflowing well
Springing up within my soul
It's unspeakable, all You've done for me
It's indescribable, just a taste of Your glory
It's unnatural, not to tell the story of all You've given me
My words are incomplete
It's joy unspeakable

Joy unspeakable
What kind of joy is this?",1026
14,Michael Buble,Home,relaxed,"Another summer day
Has come and gone away
In Paris and Rome
But I wanna go home
Mmmmmmmm
Maybe surrounded by
A million people I
Still feel all alone
I just wanna go home
Oh, I miss you, you know
And I've been keeping all the letters that I wrote to you
Each one a line or two
""I'm fine baby, how are you?""
Well I would send them but I know that it's just not enough
My words were cold and flat
And you deserve more than that
Another aeroplane
Another sunny place
I'm lucky I know
But I wanna go home
Mmmm, I've got to go home
Let me go home
I'm just too far from where you are
I wanna come home
And I feel just like I'm living someone else's life
It's like I just stepped outside
When everything was going right
And I know just why you could not
Come along with me
'Cause this was not your dream
But you always believed in me
Another winter day has come
And gone away
In even Paris and Rome
And I wanna go home
Let me go home
And I'm surrounded by
A million people I
Still feel all alone
Oh, let me go home
Oh, I miss you, you know
Let me go home
I've had my run
Baby, I'm done
I gotta go home
Let me go home
It will all be all right
I'll be home tonight
I'm coming back home",1175
15,Edwin Starr,War,angry,"War, huh, yeah
What is it good for
Absolutely nothing
Uh-huh
War, huh, yeah
What is it good for
Absolutely nothing
Say it again, y'all
War, huh, good God
What is it good for
Absolutely nothing
Listen to me
Ohhh, war, I despise
Because it means destruction
Of innocent lives
War means tears
To thousands of mothers eyes
When their sons go to fight
And lose their lives
I said, war, huh
Good God, y'all
What is it good for
Absolutely nothing
Say it again
War, whoa, Lord
What is it good for
Absolutely nothing
Listen to me
War, it ain't nothing
But a heartbreaker
War, friend only to the undertaker
Ooooh, war
It's an enemy to all mankind
The point of war blows my mind
War has caused unrest
Within the younger generation
Induction then destruction
Who wants to die
Aaaaah, war-huh
Good God y'all
What is it good for
Absolutely nothing
Say it, say it, say it
War, huh
What is it good for
Absolutely nothing
Listen to me
War, huh, yeah
What is it good for
Absolutely nothing
Uh-huh
War, huh, yeah
What is it good for
Absolutely nothing
Say it again y'all
War, huh, good God
What is it good for
Absolutely nothing
Listen to me
War, it ain't nothing but a heartbreaker
War, it's got one friend
That's the undertaker
Ooooh, war, has shattered
Many a young mans dreams
Made him disabled, bitter and mean
Life is much to short and precious
To spend fighting wars these days
War can't give life
It can only take it away
Ooooh, war, huh
Good God y'all
What is it good for
Absolutely nothing
Say it again
War, whoa, Lord
What is it good for
Absolutely nothing
Listen to me
War, it ain't nothing but a heartbreaker
War, friend only to the undertaker
Peace, love and understanding
Tell me, is there no place for them today
They say we must fight to keep our freedom
But Lord knows there's got to be a better way
Ooooooh, war, huh
Good God y'all
What is it good for
You tell me
Say it, say it, say it, say it
War, huh
Good God y'all
What is it good for
Stand up and shout it
Nothing",1968
16,Kenny Loggins,Danger Zone,angry,"Revvin' up your engine
Listen to her howlin' roar
Metal under tension
Beggin' you to touch and go
Highway to the Danger Zone
Ride into the Danger Zone
Headin' into twilight
Spreadin' out her wings tonight
She got you jumpin' off the deck
And shovin' into overdrive
Highway to the Danger Zone
I'll take you right into the Danger Zone
You'll never say hello to you
Until you get it on the red line overload
You'll never know what you can do
Until you get it up as high as you can go
Out along the edges
Always where I burn to be
The further on the edge
The hotter the intensity
Highway to the Danger Zone
Gonna take it right into the Danger Zone
Highway to the Danger Zone
Ride into the Danger Zone
Highway to the Danger Zone
Gonna take it right into the Danger Zone
Highway to the Danger Zone
Ride into the Danger Zone",817
17,G. Love & Special Sauce,"Peace, Love & Happiness",relaxed,"Why let this world just wait on your shoulders?
Pick it up, push it off, before you let yourself get colder
Just look into the eyes, the good eyes of a child
And see that love rise like a river and float for a thousand miles

Gimme some
Peace, love, happiness (peace, love, happiness)
Peace, love, happiness (peace, love, happiness)
Alright now
Come on get to me

Breathin' deep, feel your heart beat
Just to know that life's worth living
Feel your feet on the earth
You better love it while it's still here spinning

I got no time to worry
About troubles on been givin'
You gotta let it flow, let yourself go
'Cause if you're hatin, you sure ain't livin'

Gimme some
Peace, love, happiness (peace, love, happiness)
Peace, love, happiness (peace, love, happiness)
Come on give it to me
Lookee here
Lotta people talking, somebody to listen
Lotta people struggling
If you got some, you better start giving

Peace, love, happiness (peace, love, happiness)
Peace, love, happiness (peace, love, happiness)
Come on, now
You wanna give it to me
You gotta give it up

I go and eat this daily bread
With so many people starving
How come the presidents just build more bombs
When nations start disarming?

With all that money spent on guns
'Stead of food and education
Need to buy a little peace and love instead
Start the healing of the nation

Gimme some
Peace, love, happiness (peace, love, happiness)
Peace, love, happiness (peace, love, happiness)
Peace, love, happiness (peace, love, happiness)
Peace, love, happiness (peace, love, happiness)
Alright now
Peace, love, happiness (peace, love, happiness)
Gimme some
Peace, love, happiness (peace, love, happiness)

Peace, love, happiness (peace, love, happiness)
Peace, love, happiness (peace, love, happiness)
Peace, love, happiness (peace, love, happiness)
Peace, love, happiness (peace, love, happiness) Yeah",1855
18,Yeah Yeah Yeahs,Maps,happy,"Pack up
I'm straight
Enough
Oh, say, say, say
Oh, say, say, say
Oh, say, say, say
Oh, say, say, say
Wait, they don't love you like I love you
Wait, they don't love you like I love you
Ma-a-a-aps
Wait, they don't love you like I love you
Made off
Don't stray
My kind's your kind
I'll stay the same
Pack up
Don't stray
Oh, say, say, say
Oh, say, say, say
Wait, they don't love you like I love you
Wait, they don't love you like I love you
Ma-a-a-aps
Wait, they don't love me like I love you
Wait, they don't love me like I love you
Ma-a-a-aps
Wait, they don't love you like I love you
Wait, they don't love you like I love you
Wait, they don't love you like I love you
Ma-a-a-aps
Wait, they don't love me like I love you
Wait, they don't love me like I love you
Ma-a-a-aps
Wait, they don't love you like I love you",812
19,Me First & The Gimme Gimmes,Over The Rainbow,relaxed,"Somewhere over the rainbow, way up high
There's a land that I've heard of once in a lullaby
Somewhere over the rainbow skies are blue
And the dreams that you dare to dream really do come true

Someday I'll wish upon a star
And wake up when the clouds are far behind me
Where troubles melt like lemon drops
Away above the chimney tops, that's where you'll find me

Somewhere over the rainbow, bluebirds fly
Birds fly over the rainbow, why then, oh why can't I?

If happy little blue birds fly across the rainbow, why oh why can't I?",531
20,Kenny Chesney,When The Sun Goes Down,relaxed,"Suntanned toes ticklin' the sand
Cold drink chillin' in my right hand
Watchin' you sleep in the evenin' light
Restin' up for a long, long night
'Cuz when the sun goes down, we'll be groovin'
When the sun goes down, be feelin' alright
When the sun sinks down over the water
Everything gets hotter when the sun goes down, yeah
All day long just takin' it easy
Layin' in a hammock where it's nice and breezy
And sleepin' off the night before
'Cuz when the sun goes down we'll be back for more
When the sun goes down we'll be groovin'
When the sun goes down we'll be feelin' alright
When the sun sinks down over the water
Everything gets hotter when the sun goes down
This old guitar and my dark sunglasses
This sweet concoction is smooth as molasses
Nothing to do but breathe all day
Until the big moon rises and it's time to play
When the sun goes down we'll be groovin'
When the sun goes down we'll be feelin' alright
When the sun sinks down over the water
(Sun sinks down)
Everything gets hotter when the sun goes down
(When the sun goes down)
When the sun goes down, we'll be groovin'
When the sun goes down, we'll be feelin' alright
When the sun sinks down over the water
Everything gets hotter when the sun goes down, yeah
When the sun goes down, we'll be groovin'
When the sun goes down, we'll be feelin' alright
When the sun sinks down over the water
Everything gets hotter when the sun goes down
When the sun goes down, we'll be groovin'
When the sun goes down, we'll be feelin' alright
When the sun sinks down over the water
She thinks cracker's sexy when the sun goes down
Umm, umm, umm
We'll be feelin' alright
When the sun sinks down over the water
Uncle Kenny's hotter when the sun goes down
When the sun goes down, we'll be groovin'
When the sun goes down, hey Uncle Kenny
When the sun goes down over the water
Everything is hotter when the sun goes down
When the sun",1879
21,Chris Ledoux,Hooked On An 8 Second Ride,angry,"
Rollin' down a long highway out through New Mexico
Driftin' down to Santa Fe to ride a bull in a rodeo
He's hooked on a feelin'
Addicted to a natural high
Don't know why it's appealin'
All he knows is he's got to ride


He's addicted to danger
Ruled by passion and pride
To pain and fear he's no stranger
But his lust needs to satisfied
Hooked on an eight second ride


Gettin' up down in back of the chutes
Makes that rosin burn
He's got his spurs on the heels of his boots
He's at the point of no return
Climbing over that chute gate he settles down inside
The tension's risin'
But he can't wait until they turn that bull outside


He's addicted to danger
Ruled by passion and pride
To pain and fear he's no stranger
But his lust needs to satisfied
Hooked on an eight second ride
Hooked on an eight second ride
Hooked on an eight second ride",844
22,Stereophonics,Maybe Tomorrow,relaxed,"I've been down and
I'm wondering why
These little black clouds
Keep walking around
With me
With me
It wastes time
And I'd rather be high
Think I'll walk me outside
And buy a rainbow smile
But be free
They're all free
So maybe tomorrow
I'll find my way home
So maybe tomorrow
I'll find my way home
I look around at a beautiful life
I've been the upperside of down
Been the inside of out
But we breathe
We breathe
I wanna breeze and an open mind
I wanna swim in the ocean
Wanna take my time for me
All me
So maybe tomorrow
I'll find my way home
So maybe tomorrow
I'll find my way home
So maybe tomorrow
I'll find my way home
So maybe tomorrow
I'll find my way home
So maybe tomorrow
I'll find my way home
So maybe tomorrow
I'll find my way home",742
23,Fistful Of Mercy,Father's Son,sad,"My father he done told me
To never ever hurt no one
But now I'm sick an' mad and I been caught red handed
And I'm still father's son

I lay awake til daylight
A pillow and a gun
And if my secret dreams could be seen on screen
Then they'll be coming for this one

So down low better slow down lord
So down low better slow down lord
So down low better slow down lord

Please lord now forgive me
Even though I don't deserve
I never was too good in life
The devil's all I serve
My woman she done left me
I told twice to go
The first time she ignored me
But then I threw her on the floor

So down low better slow down lord
So down low better slow down lord
So down low better slow down lord
Well I sleep with one eye open
I weep with both eyes closed
Darkness coming down on me and
Tomorrow never knows

Ever I suffer
Ever suffer my fill
And if you don't pray for me now
Nobody ever will

So down low better slow down lord
So down low better slow down lord
So down low better slow down lord

Now I'm in the graveyard
It's darkness all around
Voices floating through the air speaking with no sound
You were your father's son
But you left him far beyond
Beyond the reach of mercy
In the darkness of the sun

So down low better slow down lord
So down low better slow down lord
So down low better slow down lord
So down low better slow down lord
So down low better slow down lord
I'm so down low better slow down lord
I'm so down low better slow down lord
I'm so down low better slow down lord",1484
24,R.E.M.,Shiny Happy People,happy,"Shiny happy people laughing
Meet me in the crowd
People people
Throw your love around
Love me love me
Take it into town
Happy happy
Put it in the ground
Where the flowers grow
Gold and silver shine
Shiny happy people holding hands
Shiny happy people laughing
Everyone around love them, love them
Put it in your hands
Take it take it
There's no time to cry
Happy happy
Put it in your heart
Where tomorrow shines
Gold and silver shine
Shiny happy people holding hands
Shiny happy people laughing",493
25,Josh Wilson,Before The Morning,angry,"
Do you wonder why you have to
Feel the things that hurt you?
If there's a God who loves you
Where is He now?
Or maybe there are things you can't see
And all those things are happening
To bring a better ending
Someday, somehow you'll see, you'll see


Would you dare, would you dare to believe
That you still have a reason to sing?
'Cause the pain that you've been feeling
It can't compare to the joy that's coming
So hold on, you gotta wait for the light
Press on and just fight the good fight
'Cause the pain that you've been feeling
It's just the dark before the morning


My friend, you know how this all ends
And you know where you're going
You just don't know how you'll get there
So say a prayer
And hold on
'Cause there's good for those who love God
But life is not a snapshot
It might take a little time, but you'll see the bigger picture

Would you dare, would you dare to believe
That you still have a reason to sing?
'Cause the pain that you've been feeling
It can't compare to the joy that's coming
So hold on, you gotta wait for the light
Press on and just fight the good fight
'Cause the pain that you've been feeling
It's just the dark before the morning


Yeah, yeah, before the morning
Yeah, yeah


Once you feel the weight of glory
All your pain will fade to memory
Once you feel the weight of glory
All your pain will fade to memory
Memory, memory, yeah
Would you dare, would you dare to believe
That you still got a reason to sing?
'Cause the pain that you've been feeling
It can't compare to the joy that's coming


Would you dare, would you dare to believe
That you still got a reason to sing?
'Cause the pain that you've been feeling
It can't compare to the joy that's coming
Come on, you gotta wait for the light
Press on and just fight the good fight
'Cause the pain that you've been feeling
It's just the hurt before the healing
Oh, the pain that you've been feeling
It's just the dark before the morning

Before the morning, yeah, yeah
Before the morning",1982
26,Whitney Houston,My Love Is Your Love,happy,"If tomorrow is judgment day
And I'm standing on the front line
And the Lord asks me what I did with my life
I will say I spent it with you
If I wake up in World War III (World War III)
I see destruction and poverty
And I feel like I want to go home
It's okay if you're coming with me
'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us
'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us
If I lose my fame and fortune (really don't matter)
And I'm homeless on the street (on the street oh Lord)
And I'm sleeping in Grand Central Station (okay)
It's okay if you're sleeping with me
As the years they pass us by (the years, the years, the years, the years, the years)
We stay young through each other's eyes (each other's eyes)
And no matter how old we get It's okay as long as I got you baby
'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us
'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us
If I should die this very day (very very very day)
Don't cry (don't cry), 'cause on Earth we weren't meant to stay
And no matter what the people say (really don't matter)
I'll be waiting for you after the judgment day
'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us
'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us",1708
